News Article	 || 			polarity			 || 																																			"match"																												 || 																							"News Description/Content"

1				 || 			Negative			 || 			"nullLast, fall, Facebook, announced, a, preview, for, its, cloud, gaming, service, and, today, Facebook, is, updating, its, cloud, gaming, efforts, with, expanded, coverage, and, a, new, injection, of, content, from, Ubisoft, rnIni"			 || 			"Last fall, Facebook announced a preview for its cloud gaming service, and today, Facebook is updating its cloud gaming efforts with expanded coverage and a new injection of content from Ubisoft.rnIni "
551				 || 			Neutral			 || 			"null(Adds, strategist, quote, and, details, throughout, updates, prices)rn, Canadian, dollar, weakens, 0, 1, against, greenbackrn, Price, of, U, S, oil, increases, 1, 6rn, Bank, of, Canadas, BOS, indicator, reaches, a, rec"			 || 			"(Adds strategist quote and details throughout updates prices)rn  Canadian dollar weakens 0.1 against greenbackrn  Price of U.S. oil increases 1.6rn  Bank of Canadas BOS indicator reaches a rec "
552				 || 			Neutral			 || 			"null(Adds, details, of, earnings)rnTORONTO, July, 27, (Reuters), Intact, Financial, Corp, Canadas, biggest, property, and, casualty, insurer, handily, beat, secondquarter, profit, estimates, on, Tuesday, as, premiums, grew"			 || 			"(Adds details of earnings)rnTORONTO, July 27 (Reuters)  Intact Financial Corp, Canadas biggest property and casualty insurer, handily beat secondquarter profit estimates on Tuesday as premiums grew "
553				 || 			Negative			 || 			"nullTORONTO, July, 13, (Reuters), Canadian, municipalities, reeling, from, a, pandemicdriven, hit, to, revenues, are, facing, an, added, blow, from, surging, liability, insurance, costs, forcing, them, to, raise, property, tax"			 || 			"TORONTO, July 13 (Reuters)  Canadian municipalities reeling from a pandemicdriven hit to revenues are facing an added blow from surging liability insurance costs, forcing them to raise property tax "
554				 || 			Neutral			 || 			"nullAn, exhibition, of, augmented, reality, artwork, by, 13, artists, including, Ai, Weiwei, and, Isaac, Julien, will, open, simultaneously, at, 12, gardens, in, six, countries, in, September, the, Jerusalem, Botanical, Gardens, a"			 || 			"An exhibition of augmented reality artwork by 13 artists, including Ai Weiwei and Isaac Julien, will open simultaneously at 12 gardens in six countries in September, the Jerusalem Botanical Gardens a "
555				 || 			Neutral			 || 			"nullWhen, last, springs, lockdown, quieted, the, Penn, State, campus, and, surrounding, town, of, State, College, a, juryrigged, instrument, was, listening, A, team, of, researchers, from, the, university, had, tapped, into, an, un"			 || 			"When last springs lockdown quieted the Penn State campus and surrounding town of State College, a juryrigged instrument was listening. A team of researchers from the university had tapped into an un "
556				 || 			Positive			 || 			"nullSingleuse, plastic, containers, make, up, a, huge, amount, of, the, worlds, waste, but, so, far, no, one, has, come, up, with, a, good, way, to, replace, them, thats, also, easy, for, consumers, and, costeffective, Algramo, may"			 || 			"Singleuse plastic containers make up a huge amount of the worlds waste, but so far no one has come up with a good way to replace them thats also easy for consumers and costeffective. Algramo may  "
557				 || 			Neutral			 || 			"nullThe, United, Kingdom, is, preparing, to, drop, covid19, restrictions, that, require, visitors, from, the, U, S, and, European, Union, to, quarantine, for, 10, days, on, arrival, according, to, several, newspapers, in, England"			 || 			"The United Kingdom is preparing to drop covid19 restrictions that require visitors from the U.S. and European Union to quarantine for 10 days on arrival, according to several newspapers in England.  "
558				 || 			Negative			 || 			"nullSome, Canadian, universities, are, turning, down, residence, applications, by, the, hundreds, this, year, and, the, rejected, students, who, were, hoping, for, an, oncampus, experience, after, the, COVID19, pandemic, ate, the"			 || 			"Some Canadian universities are turning down residence applications by the hundreds this year, and the rejected students who were hoping for an oncampus experience after the COVID19 pandemic ate the "
559				 || 			Positive			 || 			"nullHALIFAX, A, new, marine, robot, will, be, used, to, help, monitor, and, protect, endangered, North, Atlantic, right, whales, rnThe, underwater, glider, is, part, of, a, fleet, of, gliders, operated, by, the, Ocean, Tracking, Netw"			 || 			"HALIFAX  A new marine robot will be used to help monitor and protect endangered North Atlantic right whales. rnThe underwater glider is part of a fleet of gliders operated by the Ocean Tracking Netw "
560				 || 			Neutral			 || 			"nullNEW, DELHI:, Mumbaibased, hospitality, firm, the, Suba, Group, which, operates, in, the, midtier, segment, has, acquired, a, controlling, stake, in, the, leisure, budget, hospitality, chain, 1589, Hotels, The, developmen"			 || 			"NEW DELHI: Mumbaibased hospitality firm, the Suba Group, which operates in the midtier segment, has acquired a controlling stake in the leisure budget hospitality chain, 1589 Hotels. The developmen "
561				 || 			Neutral			 || 			"nullThe, province, is, spending4, 8, million, to, help, create, an, African, Nova, Scotian, Justice, Institute, thatwill, support, African, Nova, Scotians, in, contact, with, the, law, and, address, racism, and, overrepresentatio"			 || 			"The province is spending4.8 million to help create an African Nova Scotian Justice Institute thatwill support African Nova Scotians in contact with the law and address racism and overrepresentatio "
562				 || 			Negative			 || 			"nullMany, popular, websites, fell, offline, on, Thursday, in, a, widespread, global, outage, of, service, rnVisitors, attempting, to, reach, some, sites, received, DNS, errors, meaning, their, requests, could, not, reach, the, websi"			 || 			"Many popular websites fell offline on Thursday in a widespread global outage of service.rnVisitors attempting to reach some sites received DNS errors, meaning their requests could not reach the websi "
563				 || 			Positive			 || 			"nullFILE, PHOTO:, An, eagle, tops, the, U, S, Federal, Reserve, buildings, facade, in, Washington, July, 31, 2013, REUTERS/Jonathan, Ernst/File, PhotoA, look, at, the, day, ahead, from, Julien, PonthusrnOk, who, leaked, the, Fe"			 || 			"FILE PHOTO: An eagle tops the U.S. Federal Reserve buildings facade in Washington, July 31, 2013. REUTERS/Jonathan Ernst/File PhotoA look at the day ahead from Julien PonthusrnOk, who leaked the Fe "
564				 || 			Neutral			 || 			"nullNEWS, RELEASECOVID19/HEALTH/WELLNESSToday, July, 3, Nova, Scotia, is, reporting, eight, new, cases, of, COVID19, and, three, recoveries, rnFour, cases, are, in, Central, Zone, and, are, close, co"			 || 			"NEWS RELEASECOVID19/HEALTH/WELLNESSToday, July 3, Nova Scotia is reporting eight new cases of COVID19 and three recoveries.rnFour cases are in Central Zone and are close co "
565				 || 			Neutral			 || 			"nullNEWS, RELEASECOVID19/HEALTH/WELLNESSToday, July, 14, Nova, Scotia, is, reporting, no, new, cases, of, COVID19, and, three, recoveries, rnAll, four, health, zones, continue, to, be, closely, moni"			 || 			"NEWS RELEASECOVID19/HEALTH/WELLNESSToday, July 14, Nova Scotia is reporting no new cases of COVID19 and three recoveries.rnAll four health zones continue to be closely moni "
566				 || 			Neutral			 || 			"nullHALIFAX, rnNew, Brunswick, is, reporting, four, new, cases, of, COVID19, Friday, as, the, active, number, increases, to, 25, rnullirnTwo, new, cases, in, Zone, 1, (Moncton, region), involving, an, individuals, in, their"			 || 			"HALIFAX  rnNew Brunswick is reporting four new cases of COVID19 Friday, as the active number increases to 25.rnullirnTwo new cases in Zone 1 (Moncton region), involving an individuals in their "
567				 || 			Negative			 || 			"nullThe, latest, news, on, COVID19, developments, in, Canada, (all, times, eastern):rn1:35, p, m, rnManitoba, is, reporting, 65, new, COVID19, cases, and, one, death, rnThe, province, has, also, reached, a, milestone, 50, 2, per"			 || 			"The latest news on COVID19 developments in Canada (all times eastern):rn1:35 p.m.rnManitoba is reporting 65 new COVID19 cases and one death. rnThe province has also reached a milestone  50.2 per  "
568				 || 			Positive			 || 			"nullGeologist, Elizabeth, Turner, discovered, the, rocks, in, a, remote, region, of, the, Northwest, Territories, accessible, only, by, helicopter, where, she, has, been, excavating, since, the, 1980s, Thin, sections, of, rock, con"			 || 			"Geologist Elizabeth Turner discovered the rocks in a remote region of the Northwest Territories accessible only by helicopter, where she has been excavating since the 1980s. Thin sections of rock con "
569				 || 			Negative			 || 			"nullArticle, contentrnVaccinating, migrant, farm, workers, when, they, land, at, the, airport, was, touted, in, some, circles, as, a, way, to, head, off, COVID19, outbreaks, on, Norfolk, County, farms, rnArticle, contentrnIn, practi"			 || 			"Article contentrnVaccinating migrant farm workers when they land at the airport was touted in some circles as a way to head off COVID19 outbreaks on Norfolk County farms.rnArticle contentrnIn practi "
570				 || 			Neutral			 || 			"nullNetflix, reported, its, worst, slowdown, in, subscriber, growth, in, eight, years, as, people, emerge, from, their, pandemic, cocoons, So, its, adding, a, new, attraction, to, its, marquee:, Video, games, rnOn, Tuesday, the, vid"			 || 			"Netflix reported its worst slowdown in subscriber growth in eight years as people emerge from their pandemic cocoons. So its adding a new attraction to its marquee: Video games.rnOn Tuesday, the vid "
571				 || 			Negative			 || 			"nullTORONTO, rnMary, Simon, who, was, named, Canadas, 30th, Governor, General, on, Tuesday, and, the, first, with, an, Indigenous, background, is, no, stranger, to, the, government, of, Prime, Minister, Justin, Trudeau, or, to, t"			 || 			"TORONTO  rnMary Simon, who was named Canadas 30th Governor General on Tuesday and the first with an Indigenous background, is no stranger to the government of Prime Minister Justin Trudeau or to t "
572				 || 			Positive			 || 			"nullTORONTO, Ontarios, top, doctor, is, calling, for, all, eligible, people, especially, young, adults, and, teens, to, get, vaccinated, against, COVID19, ahead, of, the, planned, return, to, schools, in, September, rnDr, K"			 || 			"TORONTO Ontarios top doctor is calling for all eligible people  especially young adults and teens  to get vaccinated against COVID19 ahead of the planned return to schools in September.rnDr. K "
573				 || 			Negative			 || 			"nullVANCOUVER, rnThe, heat, wave, shattering, temperature, records, across, much, of, British, Columbia, has, prompted, concerns, about, the, potential, for, weatherrelated, injuries, in, some, workplaces, rnOn, Monday, after"			 || 			"VANCOUVER  rnThe heat wave shattering temperature records across much of British Columbia has prompted concerns about the potential for weatherrelated injuries in some workplaces.rnOn Monday after "
574				 || 			Neutral			 || 			"nullMany, Manitobans, are, ditching, the, plane, tickets, and, turning, to, local, destinations, for, their, summer, holidays, as, the, COVID19, pandemic, continues, to, upend, most, aspects, of, life, rnTourism, Winnipeg, says, it"			 || 			"Many Manitobans are ditching the plane tickets and turning to local destinations for their summer holidays, as the COVID19 pandemic continues to upend most aspects of life.rnTourism Winnipeg says it "
575				 || 			Negative			 || 			"nullNova, Scotias, NDP, Leader, Gary, Burrill, added, that, his, party, is, also, promising, to, do, away, with, the, suspicious, activity, exception, for, the, checks, calling, the, practice, highly, problematic, rnNova, Scot"			 || 			"Nova Scotias NDP Leader Gary Burrill added that his party is also promising to do away with the suspicious activity exception for the checks, calling the practice highly problematic. rnNova Scot "
576				 || 			Neutral			 || 			"nullCHARLOTTETOWN, Prince, Edward, Island(BUSINESS, WIRE)The, Canadian, Alliance, for, Skills, and, Training, in, Life, Sciences, (CASTL), has, signed, a, commercial, agreement, with, the, National, Institute, for, Bioproce"			 || 			"CHARLOTTETOWN, Prince Edward Island(BUSINESS WIRE)The Canadian Alliance for Skills and Training in Life Sciences (CASTL) has signed a commercial agreement with the National Institute for Bioproce "
577				 || 			Positive			 || 			"nullHALIFAX, rnPower, has, been, restored, to, thousands, of, homes, across, the, Maritimes, after, rain, and, high, winds, from, post, tropical, storm, Elsa, blew, through, the, area, causing, widespread, outages, rnNova, Scotia"			 || 			"HALIFAX  rnPower has been restored to thousands of homes across the Maritimes after rain and high winds from post tropical storm Elsa blew through the area causing widespread outages.rnNova Scotia  "
578				 || 			Positive			 || 			"nullHALIFAX, rnNew, Brunswick, is, reporting, no, new, cases, of, COVID19, on, Monday, along, with, one, recovery, as, the, active, number, of, cases, in, the, province, drops, to, eight, rnNew, Brunswick, has, had, 2, 346, cumulat"			 || 			"HALIFAX  rnNew Brunswick is reporting no new cases of COVID19 on Monday, along with one recovery, as the active number of cases in the province drops to eight.rnNew Brunswick has had 2,346 cumulat "
